,rowId,x,y,z,radius,link
259,260,13324.0,19336.0,16458.0,27.0,259
260,261,13306.0,19408.0,16458.0,27.0,260
261,262,13306.0,19480.0,16458.0,27.0,261
262,263,13270.0,19552.0,16440.0,27.0,262
263,264,13270.0,19588.0,16440.0,27.0,263
264,265,13252.0,19642.0,16440.0,41.9117,264
265,266,13216.0,19714.0,16440.0,27.0,265
266,267,13216.0,19768.0,16440.0,41.9117,266
267,268,13180.0,19840.0,16440.0,27.0,267
268,269,13180.0,19876.0,16440.0,31.2492,268
269,270,13126.0,19966.0,16494.0,55.8999,269
270,271,13126.0,20074.0,16530.0,31.2492,270
271,272,13126.0,20146.0,16548.0,27.0,271
272,273,13126.0,20218.0,16548.0,27.0,272
273,274,13144.0,20290.0,16566.0,27.0,273
274,275,13144.0,20362.0,16566.0,27.0,274
275,276,13144.0,20398.0,16566.0,27.0,275
276,277,13162.0,20452.0,16566.0,45.0,276
277,278,13180.0,20560.0,16584.0,27.0,277
278,279,13180.0,20632.0,16584.0,27.0,278
279,280,13180.0,20668.0,16584.0,27.0,279
280,281,13162.0,20704.0,16566.0,41.9117,280
281,282,13126.0,20740.0,16548.0,41.9117,281
282,283,13108.0,20830.0,16602.0,47.921,282
283,284,13108.0,20938.0,16638.0,27.0,283
284,285,13108.0,20992.0,16656.0,45.0,284
285,286,13090.0,21064.0,16692.0,31.2492,285
286,287,13090.0,21154.0,16692.0,27.0,286
287,288,13090.0,21226.0,16692.0,27.0,287
288,289,13108.0,21244.0,16710.0,27.0,288
289,290,13108.0,21316.0,16710.0,27.0,289
290,291,13108.0,21388.0,16710.0,27.0,290
291,292,13108.0,21424.0,16710.0,27.0,291
292,293,13108.0,21478.0,16710.0,45.0,292
293,294,13090.0,21586.0,16746.0,41.9117,293
294,295,13090.0,21640.0,16746.0,27.0,294
295,296,13090.0,21712.0,16746.0,31.2492,295
296,297,13072.0,21820.0,16782.0,41.9117,296
297,298,13072.0,21982.0,16836.0,41.9117,297
298,299,13054.0,22054.0,16872.0,27.0,298
299,300,13054.0,22108.0,16890.0,45.0,299
300,301,13054.0,22198.0,16944.0,27.0,300
301,302,13054.0,22270.0,16980.0,27.0,301
302,303,13054.0,22342.0,17016.0,27.0,302
303,304,13054.0,22414.0,17016.0,27.0,303
304,305,13054.0,22486.0,17016.0,27.0,304
305,306,13072.0,22540.0,17052.0,27.0,305
306,307,13072.0,22612.0,17052.0,27.0,306
307,308,13054.0,22746.7,17102.3,54.7723,307
308,309,13054.0,22882.0,17160.0,27.0,308
309,310,13036.0,22972.0,17214.0,41.9117,309
310,311,13036.0,23026.0,17214.0,27.0,310
311,312,13036.0,23098.0,17232.0,27.0,311
312,313,13036.0,23170.0,17250.0,27.0,312
313,314,13036.0,23242.0,17268.0,27.0,313
314,315,13036.0,23278.0,17268.0,27.0,314
315,316,13036.0,23350.0,17268.0,45.0,315
316,317,13036.0,23458.0,17304.0,63.0,316
317,318,13018.0,23566.0,17358.0,27.0,317
318,319,13018.0,23602.0,17358.0,27.0,318
319,320,13036.0,23674.0,17394.0,55.8999,319
320,321,12982.0,23746.0,17412.0,31.2492,320
321,322,12982.0,23818.0,17448.0,27.0,321
322,323,12982.0,23890.0,17466.0,27.0,322
323,324,13000.0,23962.0,17484.0,27.0,323
