,upstream_bodyId,downstream_bodyId,upstream_roi,downstream_roi,ux,uy,uz,dx,dy,dz,upstream_confidence,downstream_confidence
461,1359553384,5813078552,aL(R),aL(R),15119,30629,17486,15122,30639,17469,0.97,0.808113
462,1359553384,5813078552,aL(R),aL(R),15832,29500,10496,15835,29507,10508,0.996,0.960619
463,1359553384,5813078552,aL(R),aL(R),15055,30643,17388,15082,30638,17386,0.953,0.313916
464,1359553384,5813078552,bL(R),bL(R),18452,30966,20057,18451,30954,20081,0.891,0.284897
465,1359553384,5813078552,aL(R),aL(R),16870,29566,5804,16877,29559,5821,0.866,0.788687
466,1359212271,5813078552,aL(R),aL(R),16058,27895,6853,16065,27885,6841,0.972,0.942091
467,1359212271,5813078552,aL(R),aL(R),16201,27826,6811,16195,27820,6802,0.989,0.981089
468,1328505485,5813078552,aL(R),aL(R),16217,30102,14118,16195,30115,14116,0.903,0.792828
469,1328505485,5813078552,aL(R),aL(R),16111,30154,14388,16118,30161,14384,0.919,0.877258
470,1327831994,5813078552,aL(R),aL(R),16970,27131,6472,16964,27116,6476,0.975,0.902356
471,1327494939,5813078552,aL(R),aL(R),16402,29945,7060,16390,29920,7045,0.991,0.961993
472,1297815807,5813078552,bL(R),bL(R),15597,32624,20305,15587,32637,20303,0.984,0.999934
473,1295225451,5813078552,bL(R),bL(R),22206,28508,20340,22214,28480,20350,0.96,0.471302
474,1263832477,5813078552,bL(R),bL(R),21428,28983,20792,21430,28994,20799,0.969,0.781817
475,1261989183,5813078552,bL(R),bL(R),18111,31170,20114,18126,31160,20127,0.968,0.972611
476,1233703950,5813078552,aL(R),aL(R),15728,28449,5826,15744,28445,5821,0.915,0.862651
477,1203066401,5813078552,bL(R),bL(R),22862,29136,20571,22876,29136,20573,0.9,0.997154
478,1196854070,5813078552,PED(R),PED(R),13078,26640,18033,13072,26623,18017,0.976,0.748046
479,1170606692,5813078552,aL(R),aL(R),16119,29457,9814,16115,29443,9815,0.822,0.907644
480,1170606692,5813078552,aL(R),aL(R),16061,29438,9319,16060,29422,9313,0.991,0.926511
481,1170606692,5813078552,bL(R),bL(R),22966,29695,20492,22955,29706,20482,0.899,0.924046
482,1170606692,5813078552,aL(R),aL(R),16049,29517,10113,16058,29507,10114,0.98,0.994241
483,1170606692,5813078552,bL(R),bL(R),19447,30325,19971,19444,30295,19957,0.924,0.354087
484,1170606692,5813078552,aL(R),aL(R),15998,29380,8809,16004,29358,8807,0.956,0.996619
485,1141328881,5813078552,bL(R),bL(R),20797,29338,20311,20798,29338,20321,0.938,0.999973
486,1140603698,5813078552,aL(R),aL(R),16476,29453,12532,16486,29464,12537,0.953,0.742996
487,1130687130,5813078552,aL(R),aL(R),15780,29726,7441,15776,29715,7434,0.881,0.469022
