bodyId,instance,type
2068845394,AVL21f_a_pct(AVL21)_R,AVL21f_a_pct
885491239,PVL13p_a_pct(PVL13)_R,PVL13p_a_pct
916970680,FQ11_a_C5_L,FQ11_a
892268553,LC10,LC10
1163194940,FB04j_L,FB4I
387215056,PDL14p_pct(PDL14)_R,PDL14p_pct
1320480452,FQ6_a_C8_R,FQ6_a
1255293862,FB02r_L,FB2J
1197455013,,
482071463,PDM05h_a_pct(PDM05)_R,PDM05h_a_pct
890192601,ADL22f_a_pct(ADL22)_R,ADL22f_a_pct
5813133142,Delta0D,Delta0D
831273286,KCa'b',KCa'b'
1198533883,AVM14s_pct(AVM14)_R,AVM14s_pct
5813033371,PVL07s_pct(PVL07)_R,PVL07s_pct
2338926179,(PVF4)_R,
1200536439,LC9,LC9
698016469,MDN(PDM13)_R,MDN
758990648,PDM08od_pct(PDM08)_R,PDM08od_pct
941145299,PDM23c_pct(PDM23)_R,PDM23c_pct
642387775,ADM05r_pct(ADM05)_R,ADM05r_pct
5813045601,MC66,MC66
580585323,ADL17d_b_pct(ADL17)_R,ADL17d_b_pct
1199181469,AVL08q_pct(AVL08)_R,AVL08q_pct
849832062,PFNa(PB03)_L4,PFNa
768253675,ADM01y_a_pct(aSP1a)(ADM01)_R,ADM01y_a_pct
1885740332,AVL14oc_pct(AVL14)_R,AVL14oc_pct
329258532,PDL08h_pct(PDL08)_R,PDL08h_pct
878324222,KCab-c,KCab-sc
631055506,KCg,KCg
5813049879,LPC1,LPC1
1704347707,LN(AVM02)_R,olfactory LN
886626370,FB09d(AVM10)_R,FB9B_c
862722715,(MBDLaxon1),
1754369991,LC12,LC12
5813061245,AVL05oe_pct(AVL05)_R,AVL05oe_pct
696863848,(lVLPT3)_R,
1657525433,LPLC1(PVL01)_R,LPLC1
295461707,ADL10h_pct(ADL10)_R,ADL10h_pct
5813026773,l-LNv,l-LNv
5813040277,PVL04t_pct(PVL04)_R,PVL04t_pct
1722336465,LC18(PLBDL4)_R,LC18
1130156970,,
827323331,PDM13e_a_pct(PDM13)_R,PDM13e_a_pct
1875081952,PVL02i_pct(PVL02)_R,PVL02i_pct
1142024290,KCg,KCg
5813016536,(PVM10)_L,
1475615790,FQ6_c_C8_L,FQ6_c
5813021090,SCL-AVLP_L,
297165904,ADL23q_pct(ADL23)_R,ADL23q_pct
5813055834,FB06a(PDL05)_R,FB6A
1070107083,Delta0J,Delta0J
5901198526,AVL06v_f_pct(AVL06)_R,AVL06v_f_pct
478250407,KCg,KCg
956056543,LC10,LC10
1753695482,LC12(lVLPT7)_R,LC12
5813098776,PAM02(B'2a)(ADM02)_R,PAM02
332340127,KCab-s,KCab-sc
851209002,PDM28i_pct(PDM28)_L,PDM28i_pct
392424485,(ADM04)_L,
892294329,,
643363111,KCab-s,KCab-sc
5813039877,ADL07oj_pct(ADL07)_R,ADL07oj_pct
799919294,PAM14(B'1m)(ADM02)_R,PAM14
514406435,ADL04oa_pct(ADL04)_R,ADL04oa_pct
394755742,KCab-c,KCab-sc
1749323106,LLPC2a,LLPC2a
5812979177,KCg,KCg
1230190149,LC6,LC6
5813067019,PVL05x_a_pct(PVL05)_R,PVL05x_a_pct
1640594274,mPN1_DC1(AVM01)_R,DC1 adPN
267572587,PDM20m_pct(PDM20)_R,PDM20m_pct
846952407,KCab-s,KCab-sc
909730907,KCab-s,KCab-sc
1232594718,LC6,LC6
1260327246,R3p_a(ring)(AVM07)_R,R3p_a
515092013,ADL09m_pct(ADL09)_R,ADL09m_pct
577304838,(MBDLaxon1),
1130783454,PVM01w_pct(PVM01)_R,PVM01w_pct
612742229,ADM07om_pct(ADM07)_L,ADM07om_pct
299267723,PDM20e_b_pct(PDM20)_R,PDM20e_b_pct
1997196747,(LWF7)_R,
392325540,ADL02oq_pct(ADL02)_R,ADL02oq_pct
1065280625,PDM19a_pct(PDM19)_R,PDM19a_pct
1421666260,KCab-s,KCab-sc
767571751,ADM01e_pct(ADM01)_R,ADM01e_pct
1971773455,,
829572451,KCab-c,KCab-sc
5813078107,PDM17p_pct(PDM17)_L,PDM17p_pct
925811326,,
1199491747,MC61,MC61
5812992255,(AVM09)_L,
613083375,ADM07op_pct(ADM07)_L,ADM07op_pct
787374226,PFL3(PB12c)_R1,PFL3
1382002299,LC25,LC25
390616420,ADL03g_pct(ADL03)_R,ADL03g_pct
940791123,PFNp(PB01)_b_R6,PFNp_b
1570685283,mlPN2(AVM04)_R,DM3 vPN
5812986560,LC10,LC10
1444046333,AVL07b_pct(aIP3)(AVL07)_R,AVL07b_pct
611288467,PDL18q_pct(PDL18)_R,PDL18q_pct
5901201383,PDL11u_b_pct(PDL11)_R,PDL11u_b_pct
1351623779,(PLBDL7)_R,
975432645,ADL01x_pct(ADL01)_R,ADL01x_pct
823015627,PDL06a_a_pct(PDL06)_R,PDL06a_a_pct
1754374121,LC12,LC12
1046816660,KCab-c,KCab-sc
945532137,PDM16f_a_pct(PDM16)_R,PDM16f_a_pct
5813054063,LC24,LC24
664447502,PDL07oa_pct(DN3A)(PDL07)_R,PDL07oa_pct
983430664,FQ9_a_C3_R,FQ9_a
5813047790,KCa'b',KCa'b'
1379907704,LT52(ADL19)_R,LT52
767433432,ADL18h_pct(ADL18)_R,ADL18h_pct
733040015,PDL06ou_pct(PDL06)_R,PDL06ou_pct
1560734467,AVM20d_pct(AVM20)_R,AVM20d_pct
327509674,ADL09b_b_pct(ADL09)_R,ADL09b_b_pct
456174330,PAM01(y5)(ADM08)_R,PAM01
5812990678,LC29(PVL01)_R,LC29
923648748,LC10,LC10
391608263,ADL03m_e_pct(ADL03)_R,ADL03m_e_pct
1468993852,LC13(LWF1)_R,LC13
1572390197,AVM07n_pct(AVM07)_R,AVM07n_pct
548872750,PDL15i_pct(PDL15)_R,PDL15i_pct
1753449224,AVL10oh_pct(AVL10)_R,AVL10oh_pct
1848483949,LC17(lVLPT4)_R,LC17
729017279,PDM09i_pct(PDM09)_R,PDM09i_pct
1566182902,AVL10r_pct(AVL10)_R,AVL10r_pct
1719903353,(PVF5)_R,
294437328,ADL04og_pct(ADL04)_R,ADL04og_pct
5812997056,LLPC2b,LLPC2b
1437881835,(LWF7)_R,
5812980179,KCab-s,KCab-sc
1629880348,LC27(lVLPT3)_R,LC27
325826011,ADL07od_pct(ADL07)_R,ADL07od_pct
1292316735,,
5813055025,mPN1_VA3(AVM01)_R,VA3 adPN
5813087996,AVM09v_pct(AVM09)_R,AVM09v_pct
1223041249,AVL04oc_pct(AVL04)_R,AVL04oc_pct
1220239834,(PVM09)_L,
1140603698,KCab-s,KCab-sc
737491049,PDM08f_pct(PDM08)_R,PDM08f_pct
730252777,mPNX(AVM06)_R,olfactory multi lvPN mALT
5813021632,ADL28i_pct(ADL28)_R,ADL28i_pct
5813011773,AVL18e_pct(AVL18)_R,AVL18e_pct
674480029,(MBDLaxon2),
610916994,ADL03t_pct(aSP27b)(ADL03)_R,ADL03t_pct
1322138079,R1_b(ring)(AVM07)_R,R1_b
2166133204,mPN1_VL1_R,VL1 C PN
945527072,AVL06og_pct(AVL06)_R,AVL06og_pct
984536209,AVM14a_pct(AVM14)_R,AVM14a_pct
1261086823,R3d_b(ring)(AVM07)_L,R3d_b
784533172,KCg-d,KCg
5901225755,,
1686229077,PDL12oa_pct(PDL12)_R,PDL12oa_pct
1562707421,LC17(lVLPT7)_R,LC17
765975775,(PDM13)_L,
602071049,PDM12c_pct(PDM12)_R,PDM12c_pct
5813021786,KCa'b',KCa'b'
297917459,,
5813053728,PDM12g_b_pct(PDM12)_R,PDM12g_b_pct
1138799127,MC61,MC61
326164634,PDL14b_pct(PDL14)_R,PDL14b_pct
888840788,(PVM10)_L,
266873389,PDL17oa_pct(PDL17)_R,PDL17oa_pct
1042116109,FQ10_a_C3_L,FQ10_a
756567539,KCab-c,KCab-sc
5813049380,PDL05b_pct(PDL05)_R,PDL05b_pct
2431693514,(PVF4)_R,
1138112854,MC61,MC61
2279282060,LC24(LWF7)_R,LC24
329566467,ADL10g_d_pct(ADL10)_R,ADL10g_d_pct
5813092931,KCab-p,KCab-p
861574292,LC10,LC10
760971727,AVL12v_pct(AVL12)_R,AVL12v_pct
5813049443,PVL10m_pct(PVL10)_R,PVL10m_pct
1355408941,AVL02v_b_pct(aIP2a)(AVL02)_R,AVL02v_b_pct
1198330286,ExR6(PPM3-EB-DAN/ring)(PVM09)_R,ExR6
1437959040,LC13(LWF4)_R,LC13
1445743278,AVL07d_pct(AVL07)_R,AVL07d_pct
5813009429,PDL22b_pct(PDL22)_R,PDL22b_pct
1591427698,AVL09k_pct(AVL09)_R,AVL09k_pct
1068924003,PVL14a_pct(PVL14)_R,PVL14a_pct
295474876,SA1_b(AVM08)_R,SA1_b
1716487667,(LWF7)_R,
1505149370,AVL05om_pct(AVL05)_R,AVL05om_pct
1567145429,LC15,LC15
2404203061,,
5813093836,AVM08z_pct(AVM08)_R,AVM08z_pct
946049193,(PDM12)_L,
1011184205,(PVM02)_L,
5813099653,FQ6_b_C2_R,FQ6_b
940084011,KCab-a,KCab-sc
638152829,PDL05g_pct(PDL05)_R,PDL05g_pct
2036131300,PVL05g_pct(PVL05)_R,PVL05g_pct
1346157632,(LWF5)_R,
1687218148,MC62,MC62
1230221035,aSP10A(AVL20)_R,aSP10A
1725837767,,
484134987,PDM07ob_pct(PDM07)_R,PDM07ob_pct
1036559440,KCg,KCg
862274410,ADM05c_pct(aSP16a)(ADM05)_R_ipsi,ADM05c_pct
450026507,PDM22s_pct(PDM22)_R,PDM22s_pct
1751100936,ADM03w_pct(ADM03)_R,ADM03w_pct
5901219179,PDL17y_pct(PDL17)_R,PDL17y_pct
1314906961,PVL16ola_pct(PVL16)_R,PVL16ola_pct
5813050102,LC9,LC9
1138807923,MC61,MC61
5812981283,(MBDLaxon1),
891663788,AVM07g_b_pct(AVM07)_R,AVM07g_b_pct
1903073523,(LWF6)_R,
2278310642,AVL15f_pct(AVL15)_R,AVL15f_pct
1747664643,(aIP6)(lVLPT8)_R,
1351312482,AVL07b_pct(aIP3)(AVL07)_R,AVL07b_pct
298258611,PDM07i_pct(PDM07)_R,PDM07i_pct
705432638,KCab-s,KCab-sc
1128572873,(LWF5)_R,
1136744598,LC10,LC10
703387200,ADL14v_pct(ADL14)_R,ADL14v_pct
2096914134,ADM06s_pct(aSP18a)(ADM06)_R,ADM06s_pct
545786473,ADL02k_pct(ADL02)_R,ADL02k_pct
1067215615,ADM06b_c_pct(ADM06)_R,ADM06b_c_pct
1932401609,,
544270890,(ADM01)_L,
1156663078,PFNm(PB02)_a_R8,PFNm_a
5813021138,(ADM10)_L,
5813041504,FQ11_b_C5_R,FQ11_b
851899899,(PDM05)_L,
1351628071,AVL08h_pct(AVL08)_R,AVL08h_pct
1139148877,MC61,MC61
724531411,KCg,KCg
2220026105,ADM06g_b_pct(ADM06)_R,ADM06g_b_pct
578936675,FB05g(AVM10)_R,FB5G
1140240894,TuBu2_IBU(ADL06)_R,TuBu2
1599199567,AVL21c_pct(AVL21)_R,AVL21c_pct
295815955,PDM18i_pct(PDM18)_R,PDM18i_pct
1256826061,LC24(LWF6)_R,LC24
826969429,(ADM10)_L,
1851389175,mPN1_VM3(AVM01)_R,VM3 adPN
1784726510,LC12,LC12
5813069337,AVL12s_pct(AVL12)_R,AVL12s_pct
1809372805,AVL01oa_pct(AVL01)_R,AVL01oa_pct
1589986747,,
420688294,PDM11i_pct(PDM11)_R,PDM11i_pct
766863785,FB05j(AVM08)_R,FB5J
5813003690,PVL07g_g_pct(PVL07)_R,PVL07g_g_pct
