,upstream_bodyId,downstream_bodyId,upstream_roi,downstream_roi,ux,uy,uz,dx,dy,dz,upstream_confidence,downstream_confidence
604,5813078552,1141328881,bL(R),bL(R),20848,29279,20320,20832,29278,20307,0.946,0.789081
605,5813078552,1140996390,bL(R),bL(R),22105,30833,20037,22115,30835,20062,0.951,0.928736
606,5813078552,1140996390,bL(R),bL(R),22677,29915,20242,22666,29901,20237,0.921,0.987954
607,5813078552,1140603698,aL(R),aL(R),16469,29489,12530,16453,29478,12530,0.98,0.737392
608,5813078552,1140603698,aL(R),aL(R),15615,30222,16594,15602,30213,16619,0.99,0.867934
609,5813078552,1130687130,aL(R),aL(R),16125,29440,9813,16149,29442,9815,0.947,0.320302
610,5813078552,1130687130,PED(R),PED(R),13082,24321,17610,13092,24317,17623,0.972,0.715254
611,5813078552,1130687130,aL(R),aL(R),16074,29420,9338,16101,29412,9341,0.969,0.670014
612,5813078552,1130687130,aL(R),aL(R),15789,29741,7365,15776,29741,7351,0.99,0.857338
613,5813078552,1109568718,aL(R),aL(R),14478,31122,17879,14479,31122,17893,0.953,0.902923
614,5813078552,1108545599,aL(R),aL(R),17554,27492,6578,17548,27505,6584,0.989,0.997244
615,5813078552,1108545472,aL(R),aL(R),15672,29685,7794,15664,29692,7797,0.892,0.699186
616,5813078552,1108545472,aL(R),aL(R),14603,31062,17803,14589,31053,17815,0.978,0.992073
617,5813078552,1078875017,bL(R),bL(R),21533,31136,21147,21528,31151,21151,0.856,0.999079
618,5813078552,1078875017,bL(R),bL(R),21131,30930,21122,21126,30939,21138,0.812,0.981688
619,5813078552,1078875017,aL(R),aL(R),15697,30207,15729,15700,30219,15727,0.983,0.951934
